name,sanskrit,position,balancing,forwardfold,legstrengthening,legstretching,corestrengthening,hipstrengthening,hipopening,armshoulderstrengthening,armshoulderstretching,backstrengthening,backstretching,backbending,twisting,sidebending
Side Dolphin Plank,,On Arms & Legs,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no
Downward-Facing Dog,,On Arms & Legs,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no
Walk the Dog,,On Arms & Legs,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no
Downward-Facing Dog with Knee to Forehead,,On Arms & Legs,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no
Downward-Facing Dog with Stacked Hips,,On Arms & Legs,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
One Legged Downward-Facing Dog,Eka Pāda Adho Mukha Śvānāsana,On Arms & Legs,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no
Revolved Downward-Facing Dog,Parivṛtta Adho Mukha Śvānāsana,On Arms & Legs,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no
Downward-Facing Dog with Toe Raises,,On Arms & Legs,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no
Eagle,Garuḍāsana,Standing ,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no
Easy,Sukhāsana,Seated,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no
Eight Angle,Aṣṭāvakrāsana,Inversion,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no
Extended Puppy,Uttāna Shishosana,Prone,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no
Double Pigeon / Fire Log,Agnistambhāsana,Seated,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no
Firefly,Tittibhāsana,Inversion,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no
Fish,Matsyāsana,Supine,no,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,no
Flying Man,Eka Pāda Kouṇḍinyāsana,Inversion,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no
Revolved Flying Man,Parivṛtta Eka Pāda Kouṇḍinyāsana,Inversion,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,yes,no
Seated Forward Bend,Paśchimottānāsana,Seated,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no
Standing Forward Bend,Paśchimottānāsana,Standing,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no
Standing Forward Bend with Shoulder Opener,Uttānāsana,Standing,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no
Frog,Uttānāsana,Prone,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no
Yoga Squat / Garland,Uttānāsana,Seated,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no
Gorilla,Uttānāsana,Standing,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no
Half Moon,Ardha Chandrāsana,Standing,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no
Bound Half Moon,Baddha Ardha Chandrāsana,Standing,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no
Revolved Half Moon,Parivṛtta Ardha Chandrāsana,Standing,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no
Halfway Lift,Ardha Uttānāsana,Standing,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,no
Standing Hand to Toe,Hasta Pādāṅguṣṭhāsana,Standing,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no
Extended Standing Hand to Toe,Utthita Hasta Pādāṅguṣṭhāsana,Standing,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no
Supine Hand to Toe,Utthita Hasta Pādāṅguṣṭhāsana,Supine,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Extended Supine Hand to Toe,Utthita Supta Hasta Pādāṅguṣṭhāsana,Supine,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no
Handstand,Adho Mukha Vṛkṣāsana,Inversion,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no
Handstand with Splits,,Inversion,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no
Happy Baby,Ānanda Bālāsana,Supine,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no
Standing Head to Knee,Daṇḍayamana Jānushīrāsana,Standing,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no
Headstand,Sālamba Śīrṣāsana I,Inversion,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no
Tripod Headstand,Sālamba Śīrṣāsana II,Inversion,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no
Tripod Headstand with Knees on Elbows,,Inversion,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no
Tripod Headstand - Spiral the Legs,Parivṛttaikapāda Śīrṣāsana II,Inversion,yes,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no
Hero,Vīrāsana,Seated,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Supine Hero,Supta Vīrāsana,Supine,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no
Extended Supine Hero,Utthita Supta Vīrāsana,Supine,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no
