id,name,sanskrit,position
117,Pigeon,Kapotāsana,On Knees
118,Flying Pigeon,Eka Pāda Gālavāsana,Inversion
119,Supine Pigeon,Supta Kapotāsana,Supine
120,Plank,Phalakāsana,On Arms & Legs
121,One Legged Plank,Eka Pāda Phalakāsana,On Arms & Legs
122,Side Plank,Vasiṣṭhāsana,On Arms & Legs
123,Extended Side Plank,Utthita Vasiṣṭhāsana,On Arms & Legs
124,Upward Plank,Pūrvottānāsana,On Arms & Legs
125,Plow,Halāsana,Inversion
126,Pyramid,Pārśvottānāsana,Standing
127,Half Splits / Pyramid on the Knee,,On Arms & Legs
128,Rabbit,Sasangāsana,On Knees
129,Legs  Up the Wall / Rejuvination,Supta Daṇḍāsana,Supine
130,Scale,Tolāsana,Inversion
131,Scorpion,Vṛśchikāsana I,Inversion
132,Scorpion Handstand,Vṛśchikāsana II,Inversion
133,Shoulder Stand,Sālamba Sarvāṅgāsana,Inversion
134,Unsupported Shoulder Stand,Nirālamba Sarvāṅgāsana,Inversion
135,Bound Side Angle,Baddha Pārśvakoṇāsana,Standing
136,Extended Side Angle,Utthita Pārśvakoṇāsana,Standing
137,Revolved Side Angle,Parivṛtta Pārśvakoṇāsana,Standing
138,Bound Revolved Side Angle,Parivṛtta Baddha Pārśvakoṇāsana,Standing
139,Sleeping Half Pigeon / Swan,,Prone
140,Sphinx,,Prone
141,Supine Spinal Twist,Supta Jaṭhara Parivartānāsana,Supine
142,Front Splits / Monkey,Hanumānāsana,Seated
143,Side Splits / Center Splits,Upaviṣṭha Koṇāsana,Seated
144,Standing Splits,Ūrdhva Prasārita Eka Pādāsana,Standing
145,Squatting Toe Balance,,Standing
146,Squatting Toe Balance with Opened Knees,,Standing
147,Revolved Squatting Toe Balance,,Standing
148,Bound Revolved Squatting Toe Balance,Pāśasana,Standing
149,Staff,Daṇḍāsana,Seated
150,Inverted Staff,Dvi Pāda Viparīta Daṇḍāsana,On Arms & Legs
151,Four Limbed Staff,Chaturaṅga Daṇḍāsana,On Arms & Legs
152,Reverse Table,Pūrvottānāsana,On Arms & Legs
153,Tortoise,Kūrmāsana,Inversion
154,Tree,Vṛkṣāsana,Standing
155,Triangle,Trikoṇāsana,Standing
156,Revolved Triangle,Parivṛtta Trikoṇāsana,Standing
157,Upward-Facing Dog,Ūrdhva Mukha Śvānāsana,On Arms & Legs
158,Reverse Warrior,Pārśva Vīrabhadrāsana,Standing
159,Warrior Twist,,Standing
160,Warrior I,Vīrabhadrāsana I,Standing
161,Warrior I Forward Bend / Arms Extended Forward,,Standing
162,Warrior II,Vīrabhadrāsana II,Standing
163,Warrior III / Balancing Stick,Vīrabhadrāsana III,Standing
164,Wheel / Upward Bow,Ūrdhva Dhanurāsana,On Arms & Legs
165,One Legged Wheel,Eka Pāda Ūrdhva Dhanurāsana,On Arms & Legs
166,Wild Thing,Camatkārāsana,On Arms & Legs
167,Wind Removing / Supine Knees to Chest / Supine Ball Pose,Pavanamuktāsana,Supine
168,One Legged Wind Removing,Eka Pāda Pavanamuktāsana,Supine
169,Dragonfly / Grasshopper,,Inversion
170,Compass,Parivrtta Surya Yantrasana,Seated
171,Gate ,Parighasana,On Arms & Legs
172,Standing Figure Four,,Standing
173,Revolved Hand to Big Toe Pose,Parivrtta Hasta Padangusthasana,Standing
